epoch,train_loss,validation_average_precision
1,1.332003116607666,0.06850498508366445
2,1.2969143390655518,0.11650024830438138
3,1.2644106149673462,0.18204306527651065
4,1.2338716983795166,0.2411072732750566
5,1.2047233581542969,0.2884800139191839
6,1.1767274141311646,0.3231394173835508
7,1.149613618850708,0.34318904955404855
8,1.1229068040847778,0.35912600927838745
9,1.0960354804992676,0.369911853201389
10,1.0686284303665161,0.37909511947327545
11,1.0403836965560913,0.3861870799437242
12,1.0109384059906006,0.39093553124815217
13,0.9804237484931946,0.3937808186520447
14,0.9493176341056824,0.39647223904319645
15,0.9181487560272217,0.39841123091799663
16,0.8875806927680969,0.40000358822639204
17,0.8582233786582947,0.4017149439331254
18,0.8308469653129578,0.40325816997989383
19,0.8060591220855713,0.40468239092271335
20,0.7845844030380249,0.4058754202214503
21,0.7667315006256104,0.4077245784398967
22,0.7523105144500732,0.4102711877376537
23,0.7406755089759827,0.412765983528737
24,0.7310500144958496,0.4157036303927927
25,0.7228684425354004,0.418170157246211
26,0.7154940366744995,0.41981695075156794
27,0.7082209587097168,0.4227964729487971
28,0.7007297873497009,0.4245659800402549
29,0.6929867267608643,0.42685030227616894
30,0.6849334836006165,0.4292542417295308
31,0.6767510175704956,0.43279793774243175
32,0.668724000453949,0.4353452240616246
33,0.6611512303352356,0.4371448882642797
34,0.6542601585388184,0.43899130787992363
35,0.6482356786727905,0.44150849885888066
36,0.6430704593658447,0.443629032622202
37,0.6387124061584473,0.4465954791766515
38,0.6350340247154236,0.4495681768387783
39,0.6317975521087646,0.4520952962378919
40,0.6288843154907227,0.4550077507448945
